Diameter,Height,Whole_Weight,Viscra_Weight,Shell_Weight,Group
0.525,0.195,1.37,0.2955,0.407,2.0
0.275,0.095,0.217,0.0435,0.09,1.0
0.47,0.165,0.9975,0.242,0.33,0.0
0.45,0.14,1.013,0.216,0.36,0.0
0.38,0.135,0.6809999999999999,0.142,0.17,0.0
0.56,0.22,1.834,0.422,0.455,2.0
0.435,0.14,0.7535,0.1555,0.2325,0.0
0.405,0.15,0.7035,0.134,0.1885,0.0
0.42,0.13,1.001,0.226,0.265,0.0
0.54,0.175,1.5585,0.402,0.385,2.0
0.425,0.155,0.7735,0.123,0.255,0.0
0.46,0.175,0.8690000000000001,0.1825,0.32,0.0
0.265,0.085,0.1895,0.0515,0.055,1.0
0.45,0.19,1.0805,0.2495,0.2935,0.0
0.44,0.165,0.875,0.18,0.3,0.0
0.45,0.155,0.91,0.1895,0.355,0.0
0.4,0.125,0.6675,0.1315,0.22,0.0
0.25,0.07,0.1605,0.0335,0.046,1.0
0.11,0.04,0.0155,0.003,0.005,1.0
0.375,0.14,0.521,0.123,0.17,1.0
0.215,0.06,0.0935,0.023,0.03,1.0
0.285,0.105,0.2905,0.0685,0.0875,1.0
0.52,0.195,1.4535,0.391,0.4125,2.0
0.49,0.175,1.2435,0.313,0.305,0.0
0.185,0.06,0.0925,0.021,0.025,1.0
0.285,0.085,0.244,0.0445,0.068,1.0
0.49,0.18,1.13,0.2765,0.315,0.0
0.59,0.225,1.756,0.3405,0.58,2.0
0.5,0.175,1.5105,0.3755,0.3775,2.0
0.345,0.11,0.3665,0.081,0.117,1.0
0.19,0.08,0.081,0.0195,0.03,1.0
0.545,0.165,1.6225,0.299,0.513,2.0
0.13,0.045,0.029,0.0075,0.0095,1.0
0.57,0.205,1.842,0.408,0.65,2.0
0.31,0.115,0.3465,0.0695,0.115,1.0
0.325,0.11,0.3105,0.074,0.105,1.0
0.45,0.145,1.022,0.268,0.265,0.0
0.355,0.125,0.5255,0.135,0.145,1.0
0.41,0.115,0.6765,0.158,0.22,0.0
0.3,0.09,0.304,0.071,0.0955,1.0
0.44,0.16,0.985,0.201,0.27,0.0
0.215,0.075,0.106,0.023,0.035,1.0
0.335,0.115,0.406,0.0935,0.135,1.0
0.56,0.175,1.6605,0.3275,0.398,2.0
0.315,0.125,0.3525,0.0565,0.13,1.0
0.425,0.135,0.7120000000000001,0.1605,0.25,0.0
0.145,0.06,0.037,0.0095,0.011,1.0
0.475,0.175,1.2525,0.3055,0.343,0.0
0.46,0.18,1.0515,0.2595,0.276,0.0
0.46,0.18,1.14,0.2575,0.365,0.0
0.415,0.15,0.7775,0.1415,0.33,0.0
0.575,0.215,2.009,0.4475,0.502,2.0
0.51,0.165,1.545,0.3775,0.4055,2.0
0.335,0.11,0.4385,0.0715,0.1315,1.0
0.43,0.155,0.7955,0.1925,0.22,0.0
0.355,0.105,0.442,0.0975,0.1185,1.0
0.12,0.035,0.021,0.0045,0.005,1.0
0.365,0.09,0.6509999999999999,0.132,0.18,1.0
0.24,0.085,0.17,0.047,0.049,1.0
0.435,0.17,0.848,0.166,0.25,0.0
0.445,0.165,0.8320000000000001,0.179,0.279,0.0
0.385,0.13,0.623,0.1285,0.175,1.0
0.49,0.165,1.205,0.3105,0.3465,0.0
0.58,0.19,1.7375,0.4345,0.52,2.0
0.335,0.14,0.478,0.115,0.16,1.0
0.4,0.115,0.541,0.1025,0.21,1.0
0.51,0.19,1.4985,0.3075,0.545,2.0
0.44,0.135,0.768,0.1385,0.2475,0.0
0.53,0.195,1.388,0.2735,0.41,2.0
0.46,0.145,1.1185,0.2945,0.2985,0.0
0.445,0.145,0.888,0.1815,0.2425,0.0
0.465,0.155,0.872,0.239,0.285,0.0
0.415,0.165,0.7485,0.134,0.285,0.0
0.34,0.14,0.482,0.1085,0.16,1.0
0.35,0.14,0.5905,0.158,0.19,1.0
0.46,0.17,0.9035,0.1935,0.214,0.0
0.435,0.14,0.8455,0.191,0.222,0.0
0.505,0.165,1.26,0.2755,0.406,0.0
0.5,0.155,1.202,0.3135,0.294,0.0
0.405,0.16,0.792,0.1455,0.28,0.0
0.25,0.075,0.1785,0.0455,0.045,1.0
0.515,0.18,1.389,0.324,0.395,2.0
0.285,0.08,0.226,0.04,0.0725,1.0
0.27,0.09,0.195,0.0455,0.059,1.0
0.32,0.11,0.3735,0.0755,0.109,1.0
0.335,0.095,0.298,0.058,0.115,1.0
0.255,0.075,0.1635,0.0345,0.057,1.0
0.545,0.23,1.7519999999999998,0.2895,0.815,2.0
0.455,0.14,0.972,0.255,0.269,0.0
0.52,0.18,1.492,0.36,0.355,2.0
0.385,0.125,0.6115,0.1265,0.15,1.0
0.265,0.105,0.222,0.056,0.075,1.0
0.51,0.18,1.261,0.2335,0.339,0.0
0.33,0.115,0.365,0.0825,0.1245,1.0
0.475,0.17,1.247,0.225,0.425,0.0
0.43,0.12,1.0615,0.1669999999999999,0.31,0.0
0.405,0.14,0.6155,0.1355,0.205,1.0
0.255,0.09,0.1785,0.0305,0.0525,1.0
0.57,0.21,2.236,0.5195,0.545,2.0
0.525,0.215,1.779,0.2855,0.55,2.0
0.265,0.11,0.2965,0.063,0.085,1.0
0.265,0.085,0.1735,0.034,0.056,1.0
0.485,0.215,0.9615,0.176,0.29,0.0
0.3,0.09,0.277,0.0625,0.0819999999999999,1.0
0.43,0.15,0.8825,0.172,0.31,0.0
0.425,0.155,0.7905,0.171,0.2595,0.0
0.43,0.16,0.8440000000000001,0.1855,0.231,0.0
0.35,0.14,0.451,0.0705,0.184,1.0
0.525,0.175,1.71,0.309,0.58,2.0
0.37,0.13,0.458,0.113,0.136,1.0
0.48,0.17,1.056,0.2435,0.3135,0.0
0.42,0.145,0.8655,0.163,0.2175,0.0
0.305,0.09,0.328,0.0615,0.0819999999999999,1.0
0.305,0.095,0.2815,0.0525,0.09,1.0
0.385,0.18,1.0835,0.2295,0.304,0.0
0.405,0.135,0.7575,0.216,0.195,0.0
0.19,0.07,0.0815,0.016,0.031,1.0
0.425,0.13,0.664,0.163,0.21,0.0
0.235,0.08,0.17,0.0465,0.0495,1.0
0.575,0.175,1.555,0.3705,0.52,2.0
0.42,0.14,0.74,0.159,0.1985,0.0
0.375,0.115,0.5895,0.12,0.1669999999999999,1.0
0.35,0.125,0.4315,0.1165,0.1175,1.0
0.43,0.175,1.411,0.297,0.395,2.0
0.2,0.08,0.0915,0.0215,0.03,1.0
0.45,0.13,0.785,0.193,0.2265,0.0
0.345,0.12,0.487,0.108,0.16,1.0
0.5,0.18,1.1965,0.2325,0.3995,0.0
0.345,0.13,0.4495,0.0835,0.134,1.0
0.23,0.075,0.1455,0.0305,0.05,1.0
0.425,0.145,0.9365,0.181,0.2185,0.0
0.51,0.16,1.3835,0.2905,0.3665,2.0
0.465,0.155,1.1,0.2665,0.2585,0.0
0.475,0.165,1.116,0.2205,0.315,0.0
0.42,0.14,0.8745,0.165,0.25,0.0
0.42,0.13,0.6990000000000001,0.1565,0.2035,0.0
0.45,0.175,1.2365,0.2455,0.308,0.0
0.47,0.155,1.1735,0.233,0.2595,0.0
0.4,0.14,0.7165,0.1595,0.1785,0.0
0.395,0.13,0.575,0.115,0.183,1.0
0.4,0.155,0.7070000000000001,0.1605,0.225,0.0
0.365,0.15,0.9145,0.199,0.273,0.0
0.455,0.15,0.9595,0.2395,0.23,0.0
0.23,0.085,0.125,0.0285,0.043,1.0
0.375,0.135,0.5375,0.117,0.17,1.0
0.34,0.18,0.7005,0.165,0.2,0.0
0.38,0.125,0.616,0.113,0.185,1.0
0.315,0.095,0.378,0.08,0.1045,1.0
0.33,0.105,0.335,0.074,0.11,1.0
0.405,0.13,0.6615,0.1395,0.19,1.0
0.5,0.18,1.3705,0.303,0.3705,2.0
0.18,0.065,0.071,0.013,0.0215,1.0
0.575,0.2,2.073,0.4655,0.48,2.0
0.395,0.125,0.5415,0.1345,0.155,1.0
0.525,0.165,1.6085,0.3145,0.4005,2.0
0.505,0.185,1.978,0.4255,0.4505,2.0
0.27,0.09,0.1885,0.0385,0.055,1.0
0.4,0.13,0.6435,0.1665,0.205,1.0
0.385,0.115,0.6829999999999999,0.1615,0.165,0.0
0.55,0.205,2.173,0.4665,0.496,2.0
0.48,0.155,1.014,0.1885,0.325,0.0
0.37,0.11,0.514,0.1235,0.126,1.0
0.335,0.115,0.369,0.071,0.12,1.0
0.475,0.175,1.423,0.3385,0.49,2.0
0.375,0.11,0.494,0.109,0.1545,1.0
0.415,0.175,0.753,0.171,0.255,0.0
0.55,0.195,1.777,0.38,0.4305,2.0
0.485,0.18,1.2795,0.2855,0.355,0.0
0.5,0.185,1.3035,0.2635,0.465,2.0
0.55,0.195,1.6645,0.36,0.445,2.0
0.49,0.18,1.167,0.29,0.3745,0.0
0.195,0.055,0.0725,0.017,0.021,1.0
0.54,0.175,1.221,0.259,0.39,0.0
0.375,0.12,0.563,0.1205,0.185,1.0
0.445,0.155,0.826,0.2055,0.2475,0.0
0.455,0.17,0.93,0.259,0.22,0.0
0.47,0.155,1.1325,0.211,0.287,0.0
0.48,0.15,1.2,0.2455,0.28,0.0
0.505,0.18,1.297,0.3125,0.363,0.0
0.19,0.075,0.0945,0.02,0.03,1.0
0.27,0.095,0.219,0.0515,0.07,1.0
0.405,0.19,1.406,0.342,0.389,2.0
0.45,0.14,0.9,0.182,0.218,0.0
0.29,0.08,0.282,0.0725,0.08,1.0
0.525,0.205,1.4275,0.306,0.4355,2.0
0.495,0.195,1.297,0.2985,0.37,0.0
0.515,0.2,1.3730000000000002,0.3375,0.49,2.0
0.27,0.1,0.2255,0.042,0.064,1.0
0.575,0.19,1.829,0.386,0.56,2.0
0.48,0.15,0.9465,0.2605,0.2505,0.0
0.49,0.155,1.33,0.259,0.33,2.0
0.455,0.15,0.8205,0.159,0.26,0.0
0.47,0.145,1.0865,0.2715,0.2565,0.0
0.47,0.165,1.409,0.229,0.295,2.0
0.335,0.135,0.501,0.0995,0.1065,1.0
0.365,0.105,0.5205,0.123,0.182,1.0
0.4,0.115,0.6295,0.144,0.18,1.0
0.39,0.085,0.6435,0.103,0.198,1.0
0.315,0.095,0.2805,0.0345,0.11,1.0
0.475,0.19,1.151,0.281,0.3805,0.0
0.38,0.135,0.5385,0.095,0.165,1.0
0.235,0.065,0.1385,0.0225,0.05,1.0
0.28,0.1,0.252,0.0595,0.074,1.0
0.455,0.15,1.1315,0.2745,0.305,0.0
0.325,0.14,0.7615,0.1535,0.209,0.0
0.5,0.18,1.461,0.2425,0.439,2.0
0.345,0.12,0.4165,0.095,0.135,1.0
0.36,0.08,0.488,0.125,0.155,1.0
0.375,0.12,0.5565,0.122,0.195,1.0
0.33,0.125,0.463,0.11,0.145,1.0
0.475,0.145,0.9525,0.195,0.32,0.0
0.1,0.03,0.013,0.003,0.004,1.0
0.335,0.1,0.3295,0.07,0.11,1.0
0.425,0.14,0.8145,0.231,0.244,0.0
0.45,0.16,0.893,0.2185,0.345,0.0
0.39,0.125,0.599,0.149,0.1689999999999999,1.0
0.565,0.23,1.521,0.3720000000000001,0.406,2.0
0.25,0.08,0.1565,0.034,0.06,1.0
0.425,0.14,0.7659999999999999,0.1725,0.255,0.0
0.27,0.135,0.597,0.131,0.1675,1.0
0.355,0.13,0.517,0.114,0.165,1.0
0.43,0.14,0.7135,0.186,0.225,0.0
0.48,0.185,1.2065,0.29,0.286,0.0
0.105,0.05,0.0175,0.0035,0.005,1.0
0.31,0.085,0.317,0.0505,0.0935,1.0
0.21,0.06,0.125,0.0375,0.035,1.0
0.37,0.125,0.649,0.136,0.142,1.0
0.31,0.09,0.3245,0.0735,0.115,1.0
0.4,0.125,0.5625,0.1245,0.17,1.0
0.36,0.16,0.5670000000000001,0.1245,0.225,1.0
0.41,0.14,0.6615,0.1625,0.196,0.0
0.375,0.12,0.5895,0.128,0.172,1.0
0.525,0.155,1.3575,0.3045,0.4485,2.0
0.55,0.2,1.596,0.4075,0.585,2.0
0.265,0.075,0.214,0.051,0.07,1.0
0.19,0.075,0.0865,0.0205,0.025,1.0
0.45,0.17,1.098,0.187,0.405,0.0
0.455,0.14,1.0015,0.1765,0.244,0.0
0.13,0.045,0.0275,0.01,0.009,1.0
0.48,0.17,0.9175,0.2225,0.29,0.0
0.43,0.17,0.836,0.1815,0.24,0.0
0.475,0.185,1.325,0.325,0.33,2.0
0.48,0.19,1.36,0.2375,0.47,2.0
0.53,0.175,1.4465,0.33,0.389,2.0
0.225,0.075,0.1295,0.0335,0.044,1.0
0.4,0.13,0.6995,0.131,0.223,0.0
0.47,0.165,1.1785,0.2785,0.294,0.0
0.555,0.2,1.4385,0.2665,0.465,2.0
0.335,0.12,0.444,0.1145,0.14,1.0
0.485,0.18,1.1795,0.2775,0.355,0.0
0.46,0.165,1.058,0.25,0.294,0.0
0.345,0.12,0.3685,0.0615,0.125,1.0
0.46,0.17,1.278,0.257,0.37,0.0
0.44,0.16,0.8645,0.2075,0.26,0.0
0.46,0.135,0.9795,0.2525,0.2655,0.0
0.415,0.14,0.6385,0.1405,0.171,1.0
0.475,0.16,1.114,0.2745,0.29,0.0
0.13,0.045,0.0265,0.005,0.009,1.0
0.475,0.155,1.217,0.3075,0.34,0.0
0.48,0.145,1.181,0.229,0.225,0.0
0.51,0.185,1.375,0.384,0.3985,2.0
0.35,0.105,0.635,0.127,0.135,1.0
0.45,0.135,0.8245,0.2115,0.239,0.0
0.5,0.165,1.1445,0.218,0.365,0.0
0.28,0.095,0.2885,0.0435,0.067,1.0
0.265,0.095,0.1975,0.0375,0.07,1.0
0.275,0.115,0.2685,0.0825,0.085,1.0
0.49,0.17,1.137,0.2825,0.344,0.0
0.385,0.12,0.6005,0.142,0.185,1.0
0.31,0.105,0.365,0.0825,0.105,1.0
0.47,0.225,1.115,0.2145,0.36,0.0
0.41,0.135,0.7085,0.1525,0.235,0.0
0.4,0.14,0.654,0.16,0.1689999999999999,1.0
0.45,0.185,0.9285,0.1805,0.265,0.0
0.45,0.16,0.9045,0.2215,0.2335,0.0
0.455,0.13,1.058,0.2645,0.3,0.0
0.425,0.135,0.7709999999999999,0.1815,0.1795,0.0
0.51,0.155,1.539,0.3585,0.43,2.0
0.495,0.185,1.1085,0.3135,0.33,0.0
0.415,0.13,0.6940000000000001,0.111,0.1669999999999999,0.0
0.365,0.115,0.5885,0.121,0.1325,1.0
0.51,0.21,1.598,0.2835,0.58,2.0
0.445,0.18,0.903,0.2045,0.295,0.0
0.47,0.165,1.108,0.2325,0.3345,0.0
0.345,0.15,0.5795,0.125,0.215,1.0
0.4,0.135,0.6629999999999999,0.1369999999999999,0.2,0.0
0.495,0.19,1.1655,0.2115,0.1625,0.0
0.45,0.15,1.047,0.276,0.315,0.0
0.345,0.11,0.4595,0.0885,0.116,1.0
0.315,0.085,0.2675,0.0585,0.0765,1.0
0.475,0.17,1.0385,0.241,0.32,0.0
0.485,0.155,1.0785,0.2435,0.31,0.0
0.315,0.115,0.355,0.065,0.087,1.0
0.25,0.09,0.197,0.041,0.0605,1.0
0.485,0.16,1.254,0.259,0.3485,0.0
0.18,0.065,0.0635,0.0135,0.02,1.0
0.245,0.075,0.1555,0.038,0.049,1.0
0.465,0.135,0.9895,0.199,0.28,0.0
0.455,0.165,0.867,0.1805,0.268,0.0
0.475,0.16,0.9455,0.184,0.27,0.0
0.355,0.09,0.4325,0.074,0.1275,1.0
0.525,0.155,1.1375,0.236,0.37,0.0
0.355,0.12,0.5085,0.122,0.135,1.0
0.505,0.165,1.167,0.2955,0.345,0.0
0.495,0.175,1.29,0.276,0.3445,0.0
0.295,0.115,0.316,0.0595,0.1105,1.0
0.45,0.185,1.283,0.276,0.425,0.0
0.48,0.18,1.2495,0.27,0.371,0.0
0.47,0.155,1.1955,0.2055,0.3145,0.0
0.265,0.085,0.1835,0.046,0.065,1.0
0.475,0.175,1.024,0.261,0.322,0.0
0.385,0.15,0.7865,0.14,0.24,0.0
0.42,0.15,0.8755,0.1965,0.2315,0.0
0.375,0.115,0.6245,0.143,0.155,1.0
0.4,0.155,0.8085,0.1155,0.35,0.0
0.545,0.185,1.6135,0.4035,0.3685,2.0
0.45,0.135,0.8715,0.162,0.225,0.0
0.55,0.22,2.0495,0.4405,0.655,2.0
0.51,0.2,1.6075,0.339,0.4705,2.0
0.33,0.11,0.38,0.079,0.09,1.0
0.6,0.2,1.737,0.3585,0.595,2.0
0.56,0.165,1.675,0.4095,0.388,2.0
0.455,0.18,0.8525,0.1825,0.3,0.0
0.38,0.12,0.594,0.1435,0.18,1.0
0.4,0.125,0.617,0.127,0.19,1.0
0.525,0.2,1.449,0.2565,0.505,2.0
0.44,0.16,0.9615,0.166,0.275,0.0
0.3,0.09,0.252,0.053,0.08,1.0
0.435,0.13,0.777,0.173,0.222,0.0
0.51,0.205,1.3475,0.2565,0.48,2.0
0.525,0.19,1.67,0.4875,0.49,2.0
0.265,0.08,0.2,0.042,0.06,1.0
0.355,0.135,0.4745,0.0935,0.168,1.0
0.51,0.175,1.3805,0.2985,0.325,2.0
0.375,0.115,0.4615,0.0945,0.143,1.0
0.505,0.165,1.2235,0.2695,0.36,0.0
0.475,0.15,1.15,0.232,0.297,0.0
0.405,0.13,0.722,0.131,0.21,0.0
0.34,0.125,0.384,0.061,0.146,1.0
0.315,0.095,0.3675,0.0675,0.0985,1.0
0.465,0.14,0.908,0.1615,0.315,0.0
0.255,0.08,0.1689999999999999,0.0425,0.054,1.0
0.355,0.13,0.5465,0.126,0.185,1.0
0.51,0.18,1.6195,0.322,0.4675,2.0
0.375,0.115,0.5755,0.1145,0.1395,1.0
0.405,0.12,0.632,0.148,0.1875,1.0
0.365,0.14,0.6175,0.1445,0.19,1.0
0.485,0.17,1.1005,0.229,0.305,0.0
0.505,0.16,1.2585,0.311,0.308,0.0
0.31,0.11,0.91,0.2075,0.0995,0.0
0.445,0.16,0.9175,0.1935,0.24,0.0
0.54,0.215,1.844,0.327,0.585,2.0
0.195,0.07,0.0875,0.022,0.0255,1.0
0.335,0.115,0.4215,0.0765,0.113,1.0
0.49,0.165,1.1245,0.222,0.3555,0.0
0.43,0.15,0.8215,0.1685,0.29,0.0
0.36,0.12,0.578,0.12,0.17,1.0
0.575,0.175,1.4585,0.266,0.4395,2.0
0.395,0.165,0.7565,0.17,0.3205,0.0
0.515,0.17,1.14,0.2245,0.42,0.0
0.45,0.16,1.142,0.225,0.307,0.0
0.535,0.2,1.791,0.318,0.54,2.0
0.545,0.185,1.672,0.364,0.48,2.0
0.42,0.135,0.8075,0.1795,0.235,0.0
0.36,0.11,0.4965,0.127,0.13,1.0
0.365,0.12,0.5885,0.131,0.175,1.0
0.5,0.165,1.4595,0.2645,0.39,2.0
0.405,0.115,0.7759999999999999,0.1845,0.22,0.0
0.525,0.2,1.7405,0.297,0.657,2.0
0.385,0.145,0.7665,0.14,0.1805,0.0
0.515,0.175,1.4805,0.272,0.525,2.0
0.375,0.115,0.6765,0.1065,0.17,1.0
0.57,0.2,1.8275,0.366,0.485,2.0
0.51,0.2,1.3905,0.3315,0.41,2.0
0.455,0.175,1.02,0.2145,0.29,0.0
0.485,0.15,1.151,0.2315,0.293,0.0
0.41,0.135,0.7905,0.198,0.177,0.0
0.38,0.135,0.5395,0.133,0.157,1.0
0.28,0.085,0.198,0.0455,0.058,1.0
0.5,0.175,1.742,0.3025,0.725,2.0
0.325,0.115,0.4305,0.0785,0.1155,1.0
0.325,0.115,0.354,0.064,0.105,1.0
0.525,0.185,1.56,0.383,0.405,2.0
0.355,0.1,0.4755,0.0805,0.185,1.0
0.325,0.105,0.361,0.0665,0.103,1.0
0.41,0.16,0.8215,0.184,0.253,0.0
0.385,0.145,0.6775,0.179,0.2,0.0
0.345,0.11,0.4415,0.0905,0.12,1.0
0.53,0.165,1.2835,0.1255,0.4,0.0
0.34,0.105,0.402,0.0955,0.165,1.0
0.465,0.15,1.151,0.239,0.2515,0.0
0.5,0.155,1.005,0.199,0.36,0.0
0.49,0.16,1.144,0.289,0.319,0.0
0.445,0.125,0.8305,0.1785,0.23,0.0
0.52,0.175,1.2655,0.2775,0.336,0.0
0.48,0.15,0.8745,0.193,0.29,0.0
0.47,0.16,1.0175,0.2395,0.28,0.0
0.415,0.145,0.852,0.1885,0.205,0.0
0.27,0.075,0.2215,0.0445,0.07,1.0
0.52,0.175,1.561,0.3555,0.4,2.0
0.565,0.24,2.1995,0.465,0.885,2.0
0.44,0.135,0.7835,0.1715,0.2185,0.0
0.43,0.155,0.8675,0.172,0.229,0.0
0.45,0.17,0.81,0.157,0.22,0.0
0.485,0.135,1.3025,0.2675,0.3605,0.0
0.38,0.135,0.5835,0.1265,0.18,1.0
0.42,0.19,1.764,0.377,0.4095,2.0
0.325,0.11,0.317,0.048,0.09,1.0
0.325,0.115,0.314,0.0635,0.1,1.0
0.505,0.175,1.3185,0.302,0.3315,2.0
0.46,0.19,1.0659999999999998,0.226,0.33,0.0
0.425,0.13,0.7675,0.1205,0.21,0.0
0.505,0.19,1.2355,0.3105,0.365,0.0
0.475,0.205,1.176,0.2875,0.308,0.0
0.415,0.15,0.8805,0.234,0.235,0.0
0.44,0.175,0.8735,0.21,0.21,0.0
0.4,0.13,0.6975,0.1665,0.18,0.0
0.37,0.1,0.5135,0.1015,0.135,1.0
0.485,0.16,1.222,0.2575,0.28,0.0
0.215,0.095,0.305,0.067,0.0885,1.0
0.185,0.065,0.0685,0.014,0.0225,1.0
0.265,0.085,0.1865,0.037,0.0615,1.0
0.275,0.095,0.1375,0.0585,0.0605,1.0
0.54,0.175,1.571,0.271,0.475,2.0
0.325,0.105,0.309,0.08,0.098,1.0
0.35,0.13,0.46,0.111,0.135,1.0
0.315,0.09,0.3095,0.05,0.09,1.0
0.4,0.145,0.555,0.1305,0.195,1.0
0.42,0.14,0.7265,0.1445,0.229,0.0
0.505,0.16,1.3725,0.275,0.3685,2.0
0.54,0.155,1.534,0.379,0.384,2.0
0.4,0.135,0.7140000000000001,0.138,0.208,0.0
0.36,0.11,0.447,0.0819999999999999,0.13,1.0
0.44,0.115,0.9185,0.1785,0.29,0.0
0.31,0.11,0.315,0.0819999999999999,0.095,1.0
0.425,0.135,0.8515,0.196,0.27,0.0
0.555,0.2,1.858,0.3665,0.595,2.0
0.605,0.215,2.173,0.4915,0.6459999999999999,2.0
0.3,0.115,0.2595,0.0515,0.08,1.0
0.455,0.15,0.976,0.2055,0.2765,0.0
0.43,0.14,0.8195,0.1725,0.2295,0.0
0.44,0.175,0.9025,0.193,0.325,0.0
0.41,0.13,0.6965,0.1935,0.2,0.0
0.415,0.13,0.7615,0.17,0.1955,0.0
0.505,0.175,1.2905,0.2965,0.326,0.0
0.265,0.09,0.18,0.036,0.06,1.0
0.6,0.235,2.2385,0.411,0.621,2.0
0.435,0.14,0.7625,0.1685,0.259,0.0
0.215,0.075,0.1145,0.0265,0.035,1.0
0.57,0.165,2.0165,0.418,0.435,2.0
0.54,0.19,1.6230000000000002,0.354,0.4715,2.0
0.435,0.145,0.9205,0.2275,0.255,0.0
0.3,0.09,0.253,0.05,0.075,1.0
0.395,0.13,0.5585,0.1245,0.17,1.0
0.435,0.165,0.804,0.194,0.244,0.0
0.22,0.065,0.1195,0.0155,0.035,1.0
0.39,0.135,0.769,0.1455,0.19,0.0
0.35,0.105,0.4195,0.1005,0.13,1.0
0.335,0.11,0.4355,0.1095,0.1195,1.0
0.445,0.13,1.1325,0.234,0.32,0.0
0.395,0.135,0.5915,0.1315,0.185,1.0
0.39,0.135,0.6335,0.179,0.2,1.0
0.49,0.16,1.112,0.228,0.341,0.0
0.455,0.155,1.133,0.223,0.305,0.0
0.28,0.105,0.224,0.0575,0.075,1.0
0.47,0.18,1.1235,0.2805,0.36,0.0
0.345,0.125,0.44,0.1065,0.135,1.0
0.48,0.185,1.3065,0.2915,0.29,0.0
0.335,0.105,0.447,0.153,0.119,1.0
0.52,0.19,1.558,0.298,0.4,2.0
0.415,0.14,0.5705,0.134,0.185,1.0
0.475,0.18,0.9365,0.219,0.295,0.0
0.305,0.095,0.252,0.055,0.09,1.0
0.47,0.155,1.186,0.2315,0.277,0.0
0.395,0.105,0.551,0.103,0.171,1.0
0.23,0.08,0.1625,0.05,0.0385,1.0
0.325,0.135,0.382,0.079,0.14,1.0
0.31,0.09,0.339,0.0695,0.09,1.0
0.26,0.09,0.1915,0.036,0.062,1.0
0.55,0.2,1.7095,0.4115,0.49,2.0
0.45,0.135,0.807,0.176,0.254,0.0
0.205,0.07,0.106,0.0285,0.034,1.0
0.35,0.1,0.471,0.077,0.123,1.0
0.395,0.12,0.6459999999999999,0.1365,0.172,1.0
0.455,0.16,1.04,0.2655,0.288,0.0
0.33,0.105,0.3715,0.0785,0.0975,1.0
0.385,0.125,0.6695,0.151,0.18,0.0
0.47,0.175,1.214,0.2835,0.325,0.0
0.44,0.135,0.9025,0.2105,0.28,0.0
0.31,0.095,0.3425,0.064,0.0855,1.0
0.295,0.1,0.2685,0.056,0.0835,1.0
0.385,0.135,0.6425,0.129,0.1535,1.0
0.15,0.055,0.0465,0.012,0.015,1.0
0.345,0.105,0.4005,0.0755,0.126,1.0
0.59,0.2,1.5455,0.3765,0.415,2.0
0.4,0.135,0.6965,0.1255,0.175,0.0
0.335,0.115,0.4335,0.1205,0.12,1.0
0.42,0.19,0.6855,0.163,0.38,0.0
0.535,0.175,1.361,0.2815,0.465,2.0
