Diameter,Height,Whole_Weight,Viscra_Weight,Shell_Weight,Group
0.6,0.215,2.1945,0.482,0.584,2.0
0.57,0.21,2.2355,0.463,0.5315,2.0
0.325,0.135,0.438,0.1165,0.11,1.0
0.435,0.135,0.7365,0.1315,0.22,0.0
0.545,0.195,1.7345,0.3695,0.605,2.0
0.45,0.17,0.9705,0.232,0.248,0.0
0.25,0.09,0.203,0.037,0.0795,1.0
0.51,0.19,1.3630000000000002,0.362,0.36,2.0
0.41,0.125,0.642,0.133,0.155,1.0
0.455,0.135,1.0590000000000002,0.263,0.274,0.0
0.525,0.16,1.2835,0.2755,0.3545,0.0
0.465,0.14,1.011,0.2385,0.255,0.0
0.44,0.155,0.8109999999999999,0.178,0.235,0.0
0.385,0.125,0.596,0.097,0.21,1.0
0.45,0.17,1.0475,0.1705,0.385,0.0
0.46,0.17,1.122,0.3045,0.315,0.0
0.55,0.185,1.679,0.4015,0.3965,2.0
0.285,0.09,0.2645,0.0505,0.075,1.0
0.405,0.145,0.695,0.1635,0.234,0.0
0.295,0.1,0.2105,0.0525,0.075,1.0
0.405,0.15,0.853,0.2615,0.245,0.0
0.48,0.16,1.1125,0.2445,0.281,0.0
0.41,0.115,0.7745,0.163,0.18,0.0
0.515,0.17,1.331,0.3005,0.361,2.0
0.48,0.17,1.3555,0.268,0.3385,2.0
0.32,0.1,0.3075,0.0535,0.09,1.0
0.365,0.11,0.4465,0.089,0.1135,1.0
0.35,0.135,0.5670000000000001,0.1465,0.1525,1.0
0.4,0.145,0.5775,0.143,0.177,1.0
0.485,0.15,1.238,0.226,0.33,0.0
0.4,0.145,0.6635,0.1295,0.2515,0.0
0.22,0.085,0.146,0.0365,0.045,1.0
0.525,0.16,1.277,0.319,0.394,0.0
0.485,0.165,1.166,0.238,0.355,0.0
0.525,0.175,1.5365,0.3585,0.405,2.0
0.315,0.09,0.3625,0.0835,0.093,1.0
0.295,0.09,0.3025,0.0665,0.0765,1.0
0.285,0.105,0.27,0.0585,0.0835,1.0
0.32,0.115,0.409,0.0935,0.105,1.0
0.46,0.14,0.7635,0.153,0.265,0.0
0.45,0.155,0.93,0.246,0.265,0.0
0.49,0.18,1.36,0.347,0.305,2.0
0.465,0.145,1.107,0.2415,0.31,0.0
0.28,0.08,0.1755,0.0505,0.07,1.0
0.485,0.165,1.233,0.2315,0.3035,0.0
0.42,0.17,0.8465,0.2405,0.245,0.0
0.23,0.07,0.1639999999999999,0.04,0.045,1.0
0.555,0.22,1.666,0.4285,0.455,2.0
0.55,0.205,2.165,0.525,0.404,2.0
0.515,0.2,1.2695,0.2675,0.436,0.0
0.465,0.195,0.9965,0.247,0.47,0.0
0.52,0.2,1.4069999999999998,0.304,0.455,2.0
0.365,0.12,0.6015,0.117,0.14,1.0
0.52,0.18,1.514,0.2975,0.42,2.0
0.365,0.1,0.1315,0.0875,0.123,1.0
0.345,0.115,0.496,0.117,0.14,1.0
0.375,0.135,0.6125,0.102,0.22,1.0
0.47,0.14,0.871,0.211,0.2315,0.0
0.185,0.06,0.088,0.021,0.023,1.0
0.37,0.155,0.968,0.2455,0.2365,0.0
0.415,0.135,0.775,0.179,0.26,0.0
0.45,0.165,0.9765,0.244,0.37,0.0
0.265,0.08,0.2015,0.0475,0.055,1.0
0.31,0.065,0.3205,0.066,0.088,1.0
0.4,0.155,0.6445,0.1325,0.205,1.0
0.435,0.16,0.8105,0.1795,0.24,0.0
0.32,0.12,0.414,0.09,0.117,1.0
0.39,0.15,0.573,0.124,0.17,1.0
0.575,0.215,2.226,0.405,0.62,2.0
0.55,0.2,1.523,0.306,0.4405,2.0
0.44,0.16,0.8295,0.2005,0.2485,0.0
0.38,0.115,0.5155,0.1135,0.166,1.0
0.32,0.115,0.387,0.1005,0.0985,1.0
0.38,0.125,0.519,0.1135,0.134,1.0
0.42,0.14,0.627,0.1165,0.183,1.0
0.41,0.155,0.7155,0.1685,0.214,0.0
0.405,0.125,0.6515,0.1605,0.186,1.0
0.47,0.25,1.283,0.2475,0.445,0.0
0.37,0.125,0.655,0.1725,0.185,1.0
0.35,0.115,0.3615,0.0695,0.117,1.0
0.22,0.07,0.141,0.031,0.037,1.0
0.225,0.075,0.155,0.037,0.0365,1.0
0.47,0.16,1.1735,0.2405,0.345,0.0
0.465,0.165,1.115,0.273,0.275,0.0
0.455,0.14,0.97,0.185,0.295,0.0
0.475,0.16,1.1155,0.223,0.379,0.0
0.485,0.16,1.006,0.2245,0.2835,0.0
0.505,0.165,1.065,0.216,0.315,0.0
0.445,0.145,0.847,0.1945,0.22,0.0
0.435,0.145,0.97,0.22,0.264,0.0
0.375,0.14,0.5589999999999999,0.135,0.1689999999999999,1.0
0.565,0.195,1.817,0.4920000000000001,0.49,2.0
0.485,0.18,1.154,0.256,0.315,0.0
0.47,0.155,1.2,0.32,0.292,0.0
0.45,0.16,0.9775,0.231,0.33,0.0
0.275,0.14,0.2215,0.0455,0.0615,1.0
0.4,0.12,0.6605,0.161,0.19,1.0
0.465,0.145,0.911,0.2145,0.278,0.0
0.38,0.155,0.655,0.143,0.205,1.0
0.38,0.135,0.5415,0.095,0.19,1.0
0.53,0.205,1.496,0.337,0.465,2.0
0.405,0.175,1.2705,0.3265,0.337,0.0
0.495,0.155,1.177,0.278,0.345,0.0
0.325,0.125,0.455,0.1125,0.14,1.0
0.515,0.16,1.1845,0.311,0.335,0.0
0.43,0.14,0.687,0.1405,0.25,0.0
0.15,0.055,0.042,0.015,0.012,1.0
0.195,0.065,0.106,0.02,0.028,1.0
0.405,0.13,0.599,0.1175,0.225,1.0
0.28,0.08,0.2165,0.0925,0.07,1.0
0.4,0.12,0.616,0.143,0.1935,1.0
0.15,0.045,0.0375,0.006,0.011,1.0
0.48,0.17,1.1,0.2485,0.31,0.0
0.47,0.15,0.897,0.184,0.29,0.0
0.335,0.105,0.3305,0.064,0.105,1.0
0.46,0.15,1.0375,0.2035,0.25,0.0
0.485,0.16,1.2009999999999998,0.2875,0.38,0.0
0.465,0.165,1.056,0.2475,0.34,0.0
0.365,0.14,0.4475,0.0925,0.2305,1.0
0.47,0.17,1.099,0.2325,0.358,0.0
0.315,0.09,0.33,0.068,0.08,1.0
0.4,0.165,0.7290000000000001,0.155,0.25,0.0
0.325,0.1,0.398,0.0645,0.0945,1.0
0.395,0.115,0.5685,0.1375,0.161,1.0
0.375,0.105,0.513,0.142,0.13,1.0
0.46,0.165,1.2275,0.1965,0.435,0.0
0.29,0.095,0.249,0.058,0.067,1.0
0.255,0.1,0.1755,0.0415,0.065,1.0
0.475,0.175,1.1435,0.2475,0.349,0.0
0.285,0.09,0.257,0.062,0.075,1.0
0.52,0.21,1.6785,0.308,0.46,2.0
0.425,0.14,0.9175,0.1975,0.26,0.0
0.27,0.085,0.196,0.035,0.064,1.0
0.39,0.135,0.6595,0.1535,0.1565,1.0
0.3,0.09,0.28,0.0575,0.075,1.0
0.195,0.07,0.102,0.0135,0.034,1.0
0.405,0.12,0.6459999999999999,0.1405,0.177,1.0
0.52,0.15,1.238,0.296,0.3305,0.0
0.435,0.14,0.6955,0.129,0.2245,0.0
0.45,0.235,1.071,0.206,0.395,0.0
0.5,0.19,1.5595,0.3715,0.3845,2.0
0.535,0.205,1.4415,0.2775,0.49,2.0
0.38,0.165,1.205,0.294,0.3345,0.0
0.54,0.205,1.5805,0.287,0.435,2.0
0.555,0.22,2.333,0.3645,0.6195,2.0
0.345,0.14,0.476,0.1015,0.1085,1.0
0.495,0.175,1.2695,0.271,0.328,0.0
0.525,0.16,1.3630000000000002,0.279,0.34,2.0
0.45,0.16,1.068,0.214,0.2575,0.0
0.46,0.16,1.103,0.221,0.249,0.0
0.385,0.135,0.551,0.0715,0.206,1.0
0.425,0.14,0.963,0.224,0.24,0.0
0.335,0.11,0.334,0.0775,0.0965,1.0
0.48,0.14,0.991,0.2345,0.24,0.0
0.385,0.11,0.5785,0.16,0.14,1.0
0.46,0.145,0.9325,0.2245,0.248,0.0
0.445,0.135,0.883,0.2035,0.26,0.0
0.515,0.17,1.6115,0.306,0.395,2.0
0.435,0.15,0.725,0.1385,0.25,0.0
0.265,0.09,0.197,0.0365,0.077,1.0
0.41,0.14,0.6625,0.1555,0.196,0.0
0.465,0.16,1.133,0.2885,0.298,0.0
0.325,0.12,0.3755,0.1065,0.105,1.0
0.43,0.145,0.7895,0.171,0.223,0.0
0.5,0.18,1.4995,0.314,0.431,2.0
0.42,0.15,0.6995,0.153,0.24,0.0
0.435,0.125,0.741,0.1585,0.206,0.0
0.435,0.11,0.8059999999999999,0.203,0.215,0.0
0.305,0.105,0.281,0.0615,0.09,1.0
0.495,0.19,1.4369999999999998,0.2655,0.41,2.0
0.345,0.12,0.4935,0.1175,0.132,1.0
0.505,0.19,1.274,0.23,0.391,0.0
0.35,0.105,0.401,0.083,0.135,1.0
0.46,0.165,1.065,0.2145,0.2815,0.0
0.35,0.125,0.4775,0.089,0.118,1.0
0.33,0.1,0.3720000000000001,0.0775,0.11,1.0
0.315,0.125,0.388,0.09,0.125,1.0
0.29,0.1,0.2575,0.061,0.086,1.0
0.125,0.04,0.0245,0.0045,0.008,1.0
0.63,0.215,2.657,0.4985,0.586,2.0
0.36,0.11,0.5005,0.107,0.195,1.0
0.45,0.145,0.872,0.18,0.217,0.0
0.46,0.16,0.9505,0.2,0.228,0.0
0.26,0.085,0.1885,0.0335,0.06,1.0
0.34,0.105,0.4405,0.0745,0.1075,1.0
0.285,0.1,0.2665,0.061,0.075,1.0
0.375,0.13,0.523,0.132,0.145,1.0
0.38,0.12,0.474,0.1065,0.1545,1.0
0.38,0.115,0.6645,0.17,0.1425,1.0
0.52,0.175,1.636,0.342,0.4320000000000001,2.0
0.37,0.125,0.515,0.087,0.159,1.0
0.465,0.165,1.0475,0.2345,0.315,0.0
0.305,0.105,0.284,0.0595,0.0945,1.0
0.34,0.11,0.407,0.073,0.13,1.0
0.605,0.175,2.0505,0.526,0.355,2.0
0.415,0.12,0.596,0.12,0.1695,1.0
0.46,0.235,0.8395,0.157,0.305,0.0
0.315,0.105,0.3515,0.091,0.1195,1.0
0.24,0.085,0.131,0.0265,0.038,1.0
0.45,0.15,0.978,0.1905,0.3,0.0
0.37,0.125,0.474,0.1035,0.175,1.0
0.215,0.07,0.121,0.0155,0.0405,1.0
0.36,0.125,0.4995,0.1,0.17,1.0
0.495,0.18,1.596,0.317,0.37,2.0
0.455,0.12,0.94,0.257,0.265,0.0
0.355,0.11,0.415,0.0819999999999999,0.13,1.0
0.31,0.1,0.302,0.064,0.115,1.0
0.495,0.16,1.0915,0.275,0.315,0.0
0.35,0.14,0.474,0.109,0.1275,1.0
0.345,0.115,0.545,0.111,0.1305,1.0
0.485,0.15,1.044,0.2865,0.278,0.0
0.21,0.06,0.1195,0.0235,0.03,1.0
0.35,0.115,0.498,0.099,0.14,1.0
0.49,0.16,1.035,0.2525,0.285,0.0
0.55,0.19,1.885,0.41,0.4895,2.0
0.265,0.1,0.2775,0.0605,0.08,1.0
0.44,0.18,0.8540000000000001,0.1635,0.245,0.0
0.475,0.135,1.4405,0.191,0.3175,2.0
0.33,0.1,0.411,0.1,0.098,1.0
0.5,0.175,1.4355,0.345,0.37,2.0
0.48,0.14,1.031,0.2615,0.27,0.0
0.355,0.12,0.4975,0.099,0.14,1.0
0.495,0.155,1.3635,0.2985,0.295,2.0
0.5,0.17,1.13,0.267,0.335,0.0
0.43,0.14,0.677,0.0965,0.23,0.0
0.49,0.13,1.1335,0.2565,0.237,0.0
0.5,0.165,1.273,0.213,0.365,0.0
0.46,0.165,1.124,0.1785,0.44,0.0
0.425,0.135,0.6559999999999999,0.17,0.203,0.0
0.285,0.09,0.2305,0.039,0.0775,1.0
0.29,0.1,0.276,0.0565,0.085,1.0
0.44,0.175,1.2255,0.2705,0.3265,0.0
0.47,0.165,1.041,0.166,0.279,0.0
0.305,0.12,0.336,0.076,0.0805,1.0
0.425,0.155,0.9175,0.243,0.335,0.0
0.44,0.15,0.755,0.16,0.224,0.0
0.375,0.155,0.976,0.2285,0.2475,0.0
0.13,0.075,0.1585,0.037,0.0465,1.0
0.37,0.105,0.4665,0.1015,0.155,1.0
0.275,0.085,0.1975,0.0415,0.07,1.0
0.5,0.185,1.741,0.3255,0.4685,2.0
0.445,0.145,0.7405,0.172,0.1825,0.0
0.34,0.1,0.371,0.0865,0.115,1.0
0.4,0.14,0.7775,0.18,0.25,0.0
0.3,0.09,0.2885,0.0635,0.0765,1.0
0.565,0.205,2.119,0.5185,0.482,2.0
0.505,0.2,1.872,0.4015,0.48,2.0
0.34,0.11,0.3795,0.085,0.12,1.0
0.395,0.125,0.8115,0.166,0.2,0.0
0.505,0.155,1.105,0.226,0.325,0.0
0.4,0.13,0.7715,0.16,0.211,0.0
0.26,0.08,0.1795,0.0315,0.06,1.0
0.35,0.105,0.4745,0.123,0.1275,1.0
0.365,0.115,0.4485,0.083,0.17,1.0
0.49,0.195,1.3165,0.254,0.41,2.0
0.405,0.125,0.6795,0.1395,0.182,0.0
0.385,0.13,0.768,0.095,0.27,0.0
0.41,0.115,0.77,0.157,0.26,0.0
0.225,0.05,0.1445,0.0385,0.045,1.0
0.495,0.16,1.304,0.312,0.3725,2.0
0.475,0.15,0.99,0.2195,0.3105,0.0
0.45,0.15,1.0145,0.2015,0.2875,0.0
0.325,0.1,0.368,0.0625,0.1135,1.0
0.475,0.145,0.9745,0.207,0.259,0.0
0.425,0.155,0.8725,0.187,0.2425,0.0
0.45,0.13,0.8725,0.1715,0.272,0.0
0.27,0.085,0.2185,0.038,0.062,1.0
0.24,0.07,0.152,0.0305,0.054,1.0
0.445,0.145,0.9255,0.212,0.2475,0.0
0.385,0.11,0.596,0.104,0.151,1.0
0.245,0.075,0.156,0.038,0.045,1.0
0.45,0.175,1.011,0.2065,0.37,0.0
0.38,0.135,0.507,0.1365,0.155,1.0
0.37,0.11,0.3965,0.0855,0.1455,1.0
0.6,0.22,2.302,0.509,0.6205,2.0
0.53,0.17,1.5105,0.3525,0.3725,2.0
0.24,0.075,0.1525,0.0645,0.043,1.0
0.47,0.15,1.124,0.2315,0.287,0.0
0.39,0.125,0.6565,0.1835,0.175,1.0
0.45,0.145,0.877,0.155,0.24,0.0
0.46,0.16,1.0115,0.2615,0.2565,0.0
0.38,0.12,0.441,0.0885,0.1505,1.0
0.28,0.125,0.564,0.0955,0.143,1.0
0.45,0.15,0.9625,0.2225,0.2775,0.0
0.56,0.18,1.652,0.381,0.4525,2.0
0.34,0.115,0.3925,0.078,0.1145,1.0
0.49,0.165,1.1165,0.2615,0.3325,0.0
0.325,0.09,0.425,0.087,0.095,1.0
0.495,0.17,1.3695,0.3055,0.365,2.0
0.425,0.135,0.9415,0.2015,0.1975,0.0
0.43,0.125,0.9115,0.2075,0.121,0.0
0.34,0.12,0.4925,0.1075,0.12,1.0
0.47,0.16,1.012,0.2015,0.305,0.0
0.53,0.195,1.4985,0.375,0.425,2.0
0.375,0.13,0.721,0.1725,0.22,0.0
0.415,0.14,0.6935,0.152,0.2,0.0
0.28,0.095,0.257,0.059,0.07,1.0
0.38,0.165,0.8165,0.1915,0.265,0.0
0.435,0.145,0.9685,0.168,0.2385,0.0
0.42,0.17,0.828,0.208,0.1505,0.0
0.295,0.095,0.252,0.0575,0.066,1.0
0.485,0.165,1.2255,0.296,0.36,0.0
0.35,0.145,0.5175,0.1235,0.18,1.0
0.215,0.075,0.116,0.0295,0.04,1.0
0.395,0.12,0.5529999999999999,0.1375,0.1669999999999999,1.0
0.305,0.1,0.363,0.065,0.11,1.0
0.27,0.095,0.232,0.041,0.0615,1.0
0.36,0.135,0.501,0.115,0.165,1.0
0.47,0.165,1.0155,0.1905,0.289,0.0
0.415,0.13,0.8245,0.226,0.24,0.0
0.51,0.15,1.043,0.223,0.305,0.0
0.445,0.125,0.672,0.1365,0.21,0.0
0.34,0.135,0.495,0.117,0.185,1.0
0.465,0.14,1.195,0.205,0.4,0.0
0.29,0.085,0.2285,0.0465,0.075,1.0
0.285,0.105,0.2415,0.057,0.075,1.0
0.165,0.06,0.0515,0.0145,0.036,1.0
0.425,0.15,0.8315,0.1765,0.2165,0.0
0.4,0.125,0.6965,0.1385,0.1639999999999999,0.0
0.455,0.15,1.044,0.2205,0.27,0.0
0.39,0.135,0.7815,0.1575,0.2385,0.0
0.41,0.14,0.625,0.16,0.235,1.0
0.525,0.2,1.7825,0.3325,0.461,2.0
0.545,0.18,1.768,0.392,0.485,2.0
0.515,0.18,1.247,0.2925,0.3685,0.0
0.28,0.1,0.2565,0.0585,0.0725,1.0
0.37,0.125,0.4775,0.0705,0.1689999999999999,1.0
0.405,0.115,0.72,0.1915,0.2,0.0
0.225,0.075,0.152,0.059,0.045,1.0
0.39,0.125,0.5445,0.15,0.1405,1.0
0.405,0.13,0.599,0.1155,0.1485,1.0
0.34,0.125,0.4895,0.0875,0.2,1.0
0.35,0.135,0.494,0.0945,0.1405,1.0
0.33,0.1,0.352,0.089,0.1,1.0
0.3,0.11,0.32,0.044,0.093,1.0
0.47,0.115,1.114,0.291,0.31,0.0
0.18,0.06,0.058,0.0145,0.018,1.0
0.33,0.1,0.44,0.095,0.15,1.0
0.585,0.19,1.966,0.4370000000000001,0.5855,2.0
0.345,0.1,0.366,0.0905,0.12,1.0
0.29,0.095,0.2875,0.0605,0.08,1.0
0.235,0.09,0.183,0.0335,0.042,1.0
0.475,0.155,0.9715,0.235,0.28,0.0
0.385,0.105,0.556,0.104,0.133,1.0
0.35,0.125,0.4035,0.063,0.129,1.0
0.415,0.175,0.7395,0.1395,0.2645,0.0
0.485,0.155,1.2275,0.274,0.3,0.0
0.315,0.1,0.3645,0.0795,0.095,1.0
0.45,0.2,0.858,0.1525,0.2405,0.0
0.185,0.07,0.0715,0.018,0.025,1.0
0.46,0.145,0.9335,0.1825,0.235,0.0
0.375,0.12,0.529,0.123,0.16,1.0
0.505,0.17,1.2635,0.322,0.355,0.0
0.565,0.215,1.938,0.4825,0.575,2.0
0.36,0.125,0.4725,0.125,0.138,1.0
0.38,0.155,0.578,0.1255,0.18,1.0
0.31,0.095,0.3075,0.0745,0.093,1.0
0.315,0.11,0.3685,0.0715,0.12,1.0
0.415,0.115,0.5915,0.1585,0.18,1.0
0.425,0.17,0.949,0.2395,0.278,0.0
0.475,0.175,1.194,0.259,0.3165,0.0
0.325,0.105,0.335,0.065,0.115,1.0
0.35,0.125,0.4225,0.079,0.1355,1.0
0.255,0.085,0.1655,0.039,0.06,1.0
0.525,0.185,1.587,0.336,0.395,2.0
0.375,0.105,0.441,0.0865,0.145,1.0
0.53,0.17,1.3905,0.212,0.453,2.0
0.415,0.135,0.8095,0.2015,0.28,0.0
0.36,0.105,0.488,0.0845,0.19,1.0
0.46,0.16,0.8975,0.1655,0.345,0.0
0.395,0.13,0.7635,0.1425,0.225,0.0
0.55,0.215,1.9565,0.541,0.59,2.0
0.58,0.205,2.381,0.4695,0.488,2.0
0.375,0.135,0.556,0.1315,0.1685,1.0
0.535,0.185,1.65,0.4505,0.335,2.0
0.22,0.08,0.1365,0.0285,0.042,1.0
0.23,0.09,0.1285,0.04,0.04,1.0
0.45,0.145,0.9355,0.1645,0.2725,0.0
0.15,0.04,0.046,0.0069999999999999,0.0065,1.0
0.545,0.175,1.707,0.387,0.575,2.0
0.36,0.11,0.452,0.099,0.13,1.0
0.43,0.15,0.7829999999999999,0.1755,0.247,0.0
0.405,0.145,0.6845,0.171,0.205,0.0
0.28,0.085,0.3155,0.046,0.067,1.0
0.215,0.08,0.099,0.0255,0.045,1.0
0.395,0.135,0.6335,0.1295,0.1495,1.0
0.385,0.145,0.7615,0.195,0.204,0.0
0.505,0.175,1.15,0.256,0.3045,0.0
0.355,0.12,0.4915,0.1125,0.1325,1.0
0.55,0.175,1.798,0.3925,0.455,2.0
0.415,0.125,0.667,0.1545,0.185,0.0
0.225,0.07,0.101,0.0235,0.035,1.0
0.525,0.2,1.89,0.436,0.4305,2.0
0.325,0.1,0.385,0.08,0.125,1.0
0.505,0.165,1.16,0.274,0.349,0.0
0.4,0.145,0.6095,0.159,0.175,1.0
0.45,0.165,0.887,0.239,0.249,0.0
0.485,0.205,1.2315,0.238,0.42,0.0
0.545,0.175,1.5245,0.326,0.495,2.0
0.335,0.1,0.4085,0.092,0.135,1.0
0.43,0.15,0.8745,0.1905,0.248,0.0
0.49,0.145,0.92,0.1735,0.28,0.0
0.5,0.175,1.3769999999999998,0.33,0.292,2.0
0.39,0.125,0.5705,0.1265,0.185,1.0
0.515,0.135,1.1215,0.2305,0.29,0.0
0.515,0.08,1.042,0.1755,0.175,0.0
0.525,0.185,1.707,0.4205,0.4435,2.0
0.48,0.165,1.0125,0.4365,0.324,0.0
0.475,0.15,1.1135,0.2575,0.3005,0.0
0.37,0.14,0.5725,0.1415,0.175,1.0
0.37,0.12,0.594,0.11,0.1375,1.0
0.34,0.115,0.486,0.0655,0.1315,1.0
0.21,0.06,0.0965,0.022,0.03,1.0
0.4,0.14,0.7205,0.145,0.1735,0.0
0.405,0.155,0.9715,0.194,0.29,0.0
0.415,0.15,0.7155,0.171,0.27,0.0
0.42,0.155,0.81,0.111,0.192,0.0
0.505,0.19,1.403,0.2925,0.365,2.0
0.41,0.13,0.6875,0.1495,0.1765,0.0
0.415,0.135,0.7635,0.21,0.2,0.0
0.29,0.1,0.237,0.0395,0.0819999999999999,1.0
0.565,0.2,2.1055,0.363,0.494,2.0
0.385,0.12,0.562,0.0905,0.153,1.0
0.145,0.05,0.032,0.008,0.012,1.0
0.26,0.085,0.174,0.0345,0.06,1.0
0.52,0.19,1.4545,0.3865,0.383,2.0
0.42,0.13,0.8365,0.1669999999999999,0.249,0.0
0.46,0.15,1.0265,0.201,0.2745,0.0
0.495,0.17,1.276,0.2305,0.399,0.0
0.345,0.115,0.4885,0.108,0.166,1.0
0.325,0.1,0.378,0.1,0.089,1.0
0.515,0.19,1.6385,0.3575,0.371,2.0
0.35,0.09,0.397,0.089,0.12,1.0
0.38,0.145,0.515,0.098,0.212,1.0
0.54,0.185,1.5715,0.318,0.47,2.0
0.485,0.16,1.243,0.275,0.3,0.0
0.485,0.18,1.2435,0.308,0.37,0.0
0.205,0.08,0.181,0.034,0.0495,1.0
0.515,0.2,1.6465,0.422,0.401,2.0
0.27,0.085,0.205,0.0485,0.07,1.0
0.465,0.165,1.1015,0.2095,0.35,0.0
0.465,0.17,0.9915,0.224,0.265,0.0
0.22,0.065,0.096,0.0205,0.03,1.0
0.495,0.17,1.062,0.213,0.34,0.0
0.525,0.205,1.484,0.3115,0.43,2.0
0.48,0.17,1.1045,0.25,0.287,0.0
0.47,0.15,1.3090000000000002,0.4405,0.325,2.0
0.465,0.15,0.919,0.1765,0.262,0.0
0.5,0.15,1.0705,0.2705,0.36,0.0
0.38,0.145,0.59,0.141,0.23,1.0
0.44,0.15,1.0465,0.2185,0.2795,0.0
0.235,0.09,0.127,0.031,0.04,1.0
0.315,0.11,0.4025,0.083,0.1015,1.0
0.445,0.14,0.737,0.1405,0.237,0.0
0.35,0.125,0.5165,0.1145,0.185,1.0
0.585,0.185,1.8075,0.3215,0.475,2.0
0.435,0.13,0.9025,0.174,0.26,0.0
0.35,0.125,0.4485,0.102,0.1335,1.0
0.5,0.175,1.273,0.302,0.374,0.0
0.36,0.135,0.6105,0.107,0.235,1.0
0.35,0.105,0.4445,0.107,0.1115,1.0
0.225,0.08,0.124,0.032,0.04,1.0
0.3,0.095,0.24,0.059,0.085,1.0
0.32,0.11,0.353,0.0985,0.1,1.0
0.34,0.12,0.388,0.087,0.125,1.0
0.2,0.08,0.1205,0.028,0.04,1.0
0.43,0.125,0.923,0.175,0.283,0.0
0.36,0.12,0.5915,0.11,0.127,1.0
0.415,0.155,0.7020000000000001,0.1669999999999999,0.19,0.0
0.51,0.175,1.35,0.3155,0.3885,2.0
0.425,0.135,0.8490000000000001,0.221,0.2645,0.0
0.44,0.135,0.9185,0.2015,0.2375,0.0
0.47,0.135,0.9365,0.184,0.287,0.0
0.245,0.085,0.2015,0.038,0.053,1.0
0.48,0.19,1.467,0.303,0.42,2.0
0.295,0.095,0.335,0.094,0.09,1.0
0.47,0.2,1.031,0.2035,0.29,0.0
0.39,0.13,0.5545,0.1095,0.1895,1.0
0.515,0.125,1.1805,0.283,0.3275,0.0
0.485,0.155,1.489,0.312,0.38,2.0
0.48,0.09,1.05,0.2685,0.28,0.0
0.525,0.19,1.6465,0.307,0.3995,2.0
0.205,0.07,0.1055,0.019,0.0315,1.0
0.385,0.13,0.6905,0.179,0.175,0.0
0.465,0.19,1.171,0.2355,0.4,0.0
0.385,0.125,0.5720000000000001,0.1435,0.165,1.0
0.35,0.12,0.4835,0.144,0.16,1.0
0.565,0.195,1.8375,0.3615,0.5529999999999999,2.0
0.41,0.15,0.708,0.151,0.25,0.0
0.495,0.18,1.2555,0.254,0.355,0.0
0.495,0.165,1.2415,0.2775,0.34,0.0
0.465,0.14,0.958,0.1815,0.2705,0.0
0.47,0.15,0.9205,0.2435,0.2675,0.0
0.56,0.19,1.494,0.3425,0.485,2.0
0.245,0.09,0.1665,0.04,0.06,1.0
0.48,0.19,1.2955,0.3225,0.365,0.0
0.34,0.115,0.4215,0.093,0.135,1.0
0.38,0.155,0.66,0.1365,0.215,1.0
0.45,0.16,0.998,0.214,0.301,0.0
0.26,0.1,0.192,0.0585,0.07,1.0
0.505,0.175,1.2075,0.262,0.39,0.0
0.3,0.105,0.304,0.061,0.0805,1.0
0.465,0.15,1.027,0.188,0.176,0.0
